closingPrices  SMA12          SMA26          EMA12          EMA26          MOM25          TBR24          VOL29          EMASignal      TBRSignal      VOLSignal      MOMSignal      
360.85         354.1875       N/A            354.723657     N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
361.96         354.1875       N/A            355.836941     N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
361.96         354.28         N/A            356.77895      N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
358.65         354.51         N/A            357.066804     N/A            N/A            N/A            N/A            N/A            N/A            N/A            N/A            
357.54         354.74         N/A            357.139603     N/A            N/A            -0.012211      N/A            N/A            1.0            N/A            N/A            
363.61         355.199167     N/A            358.135049     N/A            6.07           0.004559       N/A            N/A            1.0            N/A            1.0            
369.13         356.3025       355.421923     359.82658      356.437336     12.69          0.015181       N/A            1.0            1.0            N/A            1.0            
370.23         358.05         355.867692     361.427106     357.459015     12.13          0.00298        N/A            1.0            1.0            N/A            1.0            
371.34         360.440833     356.398077     362.952167     358.487236     19.31          0.002998       N/A            1.0            1.0            N/A            1.0            
374.65         362.004167     356.907308     364.751834     359.684478     21.52          0.008914       0.019116       1.0            1.0            2.0            1.0            
380.17         363.843333     357.777308     367.12386      361.201924     29.8           0.014734       0.021116       1.0            1.0            1.0            1.0            
386.24         365.958333     358.817308     370.064805     363.056596     40.28          0.015967       0.023995       1.0            1.0            1.0            1.0            
388.99         368.0275       360.196923     372.976373     364.977589     36.41          0.00712        0.027801       1.0            1.0            1.0            1.0            
391.75         370.3725       361.851923     375.864623     366.960731     30.9           0.007095       0.03121        1.0            1.0            1.0            1.0            
391.2          372.855        363.358462     378.223912     368.756232     30.35          -0.001404      0.034553       1.0            1.0            1.0            1.0            
385.68         375.291667     364.525769     379.371002     370.009844     26.48          -0.015495      0.036856       1.0            1.0            1.0            1.0            
387.89         377.544167     365.480769     380.681617     371.3343       32.0           -0.009853      0.037216       1.0            1.0            1.0            1.0            
387.34         380.073333     366.584231     381.705984     372.519907     35.31          -0.011257      0.038276       1.0            1.0            1.0            1.0            
387.34         382.050833     367.793846     382.572756     373.617692     36.97          -0.011257      0.039527       1.0            1.0            1.0            1.0            
395.62         383.568333     369.151923     384.580024     375.247493     47.46          0.009879       0.040575       1.0            1.0            1.0            1.0            
390.65         385.684167     370.892308     385.513866     376.388419     49.11          -0.012563      0.042445       1.0            1.0            1.0            1.0            
386.24         387.293333     372.526538     385.625579     377.118166     33.66          -0.02371       0.043056       1.0            2.0            1.0            1.0            
389.55         388.259167     374.245769     386.229336     378.039043     36.97          -0.015343      0.042585       1.0            1.0            1.0            1.0            
385.68         389.040833     375.667692     386.144823     378.60504      30.89          -0.025125      0.041944       1.0            2.0            1.0            1.0            
388.99         388.994167     376.940769     386.582543     379.374296     27.58          -0.016759      0.040342       1.0            1.0            1.0            1.0            
385.68         388.994167     378.256154     386.44369      379.841385     24.83          -0.025125      0.037294       1.0            2.0            1.0            1.0            
386.79         388.488333     379.189615     386.496968     380.356097     24.83          -0.022319      0.03561        1.0            2.0            1.0            1.0            
386.79         388.120833     380.187308     386.54205      380.832682     24.83          -0.022319      0.033654       1.0            2.0            1.0            1.0            
386.79         388.213333     381.142308     386.580196     381.273965     28.14          -0.022319      0.031732       1.0            2.0            1.0            1.0            
395.62         388.121667     382.097308     387.970935     382.336634     38.08          0.0            0.0306         1.0            1.0            1.0            1.0            
395.06         388.811667     383.519231     389.06156      383.279106     31.45          -0.001415      0.029863       1.0            1.0            1.0            1.0            
402.24         389.455        384.962308     391.089012     384.683617     33.11          0.016733       0.028913       1.0            1.0            1.0            1.0            
402.24         390.006667     386.448077     392.804549     385.98409      32.01          0.0            0.028509       1.0            1.0            1.0            1.0            
403.89         390.9725       387.721538     394.510003     387.310454     32.55          0.004102       0.026929       1.0            1.0            1.0            1.0            
403.89         392.443333     389.016154     395.953079     388.538569     29.24          0.0            0.024619       1.0            1.0            1.0            1.0            
399.48         393.638333     390.268077     396.495682     389.349045     19.31          -0.010919      0.023079       1.0            1.0            1.0            1.0            
396.72         394.788333     391.223077     396.530192     389.895042     10.48          -0.017752      0.021651       1.0            1.0            1.0            1.0            
387.34         395.4325       391.859615     395.116316     389.70578      -1.65          -0.040977      0.019796       1.0            2.0            2.0            2.0            
388.44         395.570833     391.901923     394.08919      389.612019     -3.31          -0.038253      0.017624       1.0            2.0            2.0            2.0            
381.27         395.708333     391.880769     392.117007     388.994092     -9.93          -0.056005      0.015857       1.0            2.0            2.0            2.0            
382.93         395.248333     391.477692     390.703621     388.5449       -2.75          -0.051895      0.015691       1.0            2.0            2.0            2.0            
377.41         394.926667     391.159615     388.658449     387.720093     -10.48         -0.065562      0.016005       1.0            2.0            2.0            2.0            
371.34         393.409167     390.841538     385.994072     386.506753     -16.0          -0.080591      0.017234       2.0            2.0            2.0            2.0            
367.48         391.4325       390.205        383.145753     385.097364     -19.86         -0.090148      0.019483       2.0            2.0            2.0            2.0            
374.1          388.535833     389.441154     381.754099     384.282744     -21.52         -0.073758      0.02218        2.0            2.0            1.0            2.0            
371.34         386.190833     388.931923     380.15193      383.324022     -19.31         -0.080591      0.02326        2.0            2.0            1.0            2.0            
374.1          383.478333     387.998077     379.220864     382.640761     -12.14         -0.073758      0.024696       2.0            2.0            1.0            2.0            
368.03         380.995833     387.361538     377.499193     381.558482     -21.52         -0.088787      0.025602       2.0            2.0            1.0            2.0            
369.13         378.375        386.661154     376.211625     380.637854     -16.55         -0.086063      0.027282       2.0            2.0            1.0            2.0            
366.92         376.075833     385.875769     374.782144     379.621717     -22.07         -0.091535      0.028285       2.0            2.0            1.0            2.0            
369.68         374.374167     385.154231     373.997199     378.885294     -16.0          -0.084701      0.029672       2.0            2.0            1.0            2.0            
368.58         372.810833     384.411538     373.163784     378.121939     -18.21         -0.087425      0.030626       2.0            2.0            1.0            2.0            
368.58         371.753333     383.753846     372.458586     377.415129     -18.21         -0.087425      0.031529       2.0            2.0            1.0            2.0            
368.03         370.5575       383.053462     371.777265     376.719934     -18.76         -0.088787      0.03241        2.0            2.0            1.0            2.0            
368.03         369.775833     382.331923     371.200763     376.076235     -27.59         -0.088787      0.033163       2.0            2.0            1.0            2.0            
372.44         369.5          381.610385     371.391415     375.806884     -22.62         -0.077868      0.033911       2.0            2.0            1.0            2.0            
371.89         369.913333     380.718846     371.46812      375.516744     -30.35         -0.079229      0.034182       2.0            2.0            1.0            2.0            
371.34         369.729167     379.827692     371.448409     375.207356     -30.9          -0.080591      0.03444        2.0            2.0            1.0            2.0            
365.82         369.729167     378.639231     370.5825       374.511996     -38.07         -0.094258      0.03468        2.0            2.0            1.0            2.0            
363.61         369.039167     377.238462     369.509808     373.704441     -40.28         -0.089792      0.034645       2.0            2.0            1.0            2.0            
365.82         368.670833     375.689231     368.942145     373.120408     -33.66         -0.077889      0.034679       2.0            2.0            1.0            2.0            
360.85         368.395        374.225        367.6972       372.211489     -35.87         -0.071028      0.033194       2.0            2.0            1.0            2.0            
359.2          367.889167     372.739231     366.389938     371.247675     -28.14         -0.075275      0.03176        2.0            2.0            1.0            2.0            
358.1          367.015833     371.296154     365.114563     370.273773     -30.34         -0.064842      0.029562       2.0            2.0            1.0            2.0            
355.89         366.1425       370.171538     363.695399     369.208308     -25.38         -0.070613      0.026654       2.0            2.0            1.0            2.0            
357.54         365.085        368.919615     362.748415     368.343989     -25.39         -0.052648      0.024307       2.0            2.0            1.0            2.0            
361.41         364.210833     368.006923     362.542505     367.83036      -16.0          -0.033921      0.02155        2.0            2.0            1.0            2.0            
356.99         363.659167     367.179231     361.688273     367.02737      -14.35         -0.045736      0.020028       2.0            2.0            1.0            2.0            
350.92         362.371667     366.393846     360.031616     365.834231     -16.56         -0.061962      0.018284       2.0            2.0            2.0            2.0            
347.61         360.624167     365.608462     358.120598     364.484288     -26.49         -0.07081       0.018855       2.0            2.0            2.0            2.0            
347.61         358.646667     364.844231     356.503583     363.234341     -23.73         -0.07081       0.019361       2.0            2.0            2.0            2.0            
341.54         357.129167     363.825385     354.201493     361.627353     -32.56         -0.082966      0.020413       2.0            2.0            1.0            2.0            
344.85         355.29         362.679231     352.762802     360.384586     -23.18         -0.074079      0.023182       2.0            2.0            1.0            2.0            
347.61         353.5425       361.554231     351.970063     359.43832      -21.52         -0.066668      0.02495        2.0            2.0            1.0            2.0            
346.51         352.439167     360.768846     351.130053     358.480667     -20.41         -0.069622      0.025413       2.0            2.0            1.0            2.0            
343.2          351.381667     359.898846     349.910045     357.348766     -26.48         -0.078509      0.026108       2.0            2.0            1.0            2.0            
347.06         350.14         358.986538     349.471577     356.586635     -21.52         -0.068145      0.026746       2.0            2.0            1.0            2.0            
345.96         349.404167     358.116538     348.931334     355.799477     -22.62         -0.071099      0.027218       2.0            2.0            1.0            2.0            
345.41         348.439167     357.246538     348.38959      355.029886     -22.62         -0.072575      0.027563       2.0            2.0            1.0            2.0            
350.37         347.105833     356.355385     348.694268     354.684709     -17.66         -0.059258      0.028009       2.0            2.0            1.0            2.0            
355.61         346.554167     355.676154     349.758227     354.753249     -16.83         -0.043776      0.027554       2.0            2.0            1.0            2.0            
358.1          346.945        355.198462     351.041577     355.001156     -13.79         -0.035655      0.026901       2.0            2.0            1.0            2.0            
359.75         347.819167     354.646923     352.381334     355.352922     -11.59         -0.016593      0.02618        2.0            1.0            1.0            2.0            
363.06         348.830833     354.18         354.024206     355.923817     -2.76          -0.007545      0.025516       2.0            1.0            1.0            2.0            
363.61         350.624167     353.861538     355.498944     356.493164     0.0            -0.006041      0.025007       2.0            1.0            1.0            0.0            
366.37         352.1875       353.776538     357.171414     357.224781     0.55           0.007591       0.023799       2.0            1.0            1.0            1.0            
372.99         353.750833     353.882692     359.605043     358.392575     12.14          0.018069       0.022921       1.0            1.0            1.0            1.0            
366.92         355.9575       354.158462     360.730421     359.024236     7.72           -0.016274      0.023247       1.0            1.0            1.0            1.0            
365.82         357.934167     354.391923     361.513433     359.527626     7.72           -0.019223      0.023387       1.0            1.0            1.0            1.0            
366.92         359.4975       354.646538     362.345213     360.075209     11.03          -0.016274      0.023622       1.0            1.0            1.0            1.0            
366.37         361.244167     354.985769     362.964411     360.54149      8.83           -0.017748      0.023759       1.0            1.0            1.0            1.0            
366.92         362.990833     355.388846     363.572963     361.013972     5.51           -0.016274      0.024252       1.0            1.0            1.0            1.0            
366.92         364.37         355.749615     364.087892     361.451456     9.93           -0.016274      0.024859       1.0            1.0            1.0            1.0            
364.72         365.3125       355.961538     364.185139     361.69357      13.8           -0.022172      0.025453       1.0            2.0            1.0            1.0            
366.92         365.864167     356.258846     364.605887     362.080713     19.31          -0.016274      0.025801       1.0            1.0            1.0            1.0            
369.13         366.461667     356.874231     365.301904     362.602882     21.52          -0.010349      0.02632        1.0            1.0            1.0            1.0            
365.27         366.9675       357.701923     365.296996     362.800446     23.73          -0.020698      0.026952       1.0            2.0            1.0            1.0            
363.61         367.105833     358.381154     365.037458     362.860413     18.76          -0.025148      0.027252       1.0            2.0            1.0            1.0            
365.27         366.875833     359.23         365.073234     363.038901     17.66          -0.020698      0.027176       1.0            2.0            1.0            1.0            
361.41         366.2325       360.015385     364.50966      362.918242     14.9           -0.031046      0.026834       1.0            2.0            1.0            1.0            
365.27         365.773333     360.546154     364.626635     363.092446     22.07          -0.020698      0.02622        1.0            2.0            1.0            1.0            
365.82         365.7275       361.267692     364.81023      363.294487     18.76          -0.019223      0.024691       1.0            1.0            1.0            1.0            
360.85         365.635833     362.137692     364.200964     363.113414     14.89          -0.032548      0.023544       1.0            2.0            1.0            1.0            
358.1          365.175833     362.668077     363.262354     362.74205      12.69          -0.039921      0.022534       1.0            2.0            1.0            1.0            
358.65         364.440833     363.135        362.552761     362.438935     8.28           -0.038446      0.021279       1.0            2.0            1.0            1.0            
357.54         363.751667     363.644231     361.781567     362.076051     1.93           -0.041422      0.019101       2.0            2.0            2.0            1.0            
357.54         363.153333     363.92         361.129018     361.740047     -0.56          -0.041422      0.017623       2.0            2.0            2.0            2.0            
357.54         362.371667     363.994231     360.576861     361.428932     -2.21          -0.041422      0.01566        2.0            2.0            2.0            2.0            
358.1          361.405833     363.972692     360.195805     361.182344     -4.96          -0.039921      0.013144       2.0            2.0            2.0            2.0            
359.2          360.808333     363.909231     360.042604     361.035504     -4.41          -0.036972      0.011684       2.0            2.0            2.0            2.0            
356.99         360.440833     363.760769     359.572973     360.735837     -9.38          -0.042897      0.011193       2.0            2.0            2.0            2.0            
354.79         359.750833     363.506154     358.837131     360.295405     -18.2          -0.038848      0.011345       2.0            2.0            2.0            2.0            
344.85         359.199167     363.060769     356.685265     359.151301     -22.07         -0.065776      0.012017       2.0            2.0            2.0            2.0            
345.96         357.4975       361.978462     355.035224     358.174168     -19.86         -0.062769      0.015171       2.0            2.0            2.0            2.0            
340.44         355.8425       361.172308     352.789805     356.860526     -26.48         -0.077723      0.017332       2.0            2.0            2.0            2.0            
341.54         354.141667     360.196154     351.059066     355.725672     -24.83         -0.074743      0.020324       2.0            2.0            1.0            2.0            
339.34         352.761667     359.22         349.256133     354.511919     -27.58         -0.080703      0.021681       2.0            2.0            1.0            2.0            
339.89         351.1525       358.180385     347.815189     353.428814     -27.03         -0.079213      0.023803       2.0            2.0            1.0            2.0            
339.89         349.681667     357.140769     346.595929     352.425939     -24.83         -0.079213      0.025481       2.0            2.0            1.0            2.0            
344.85         348.210833     356.101154     346.327325     351.864758     -22.07         -0.065776      0.026738       2.0            2.0            1.0            2.0            
349.82         347.153333     355.336923     346.86466      351.713294     -19.31         -0.043737      0.027059       2.0            2.0            1.0            2.0            
353.68         346.463333     354.679231     347.913174     351.858976     -11.59         -0.033186      0.026722       2.0            2.0            1.0            2.0            
353.68         346.003333     354.085        348.800378     351.993867     -9.93          -0.033186      0.026119       2.0            2.0            1.0            2.0            
354.23         345.7275       353.639231     349.635704     352.159506     -11.04         -0.031682      0.025684       2.0            2.0            1.0            2.0            
351.75         345.680833     353.278462     349.96098      352.129172     -9.66          -0.038462      0.024924       2.0            2.0            1.0            2.0            
351.47         346.255833     352.758462     350.193137     352.080344     -13.8          -0.039227      0.023759       2.0            2.0            1.0            2.0            
356.99         346.715        352.376154     351.238808     352.444022     -8.83          -0.010697      0.023041       2.0            1.0            1.0            2.0            
368.03         348.094167     352.057692     353.822068     353.598539     7.18           0.024582       0.022503       1.0            1.0            1.0            1.0            
368.03         350.301667     352.142692     356.007904     354.667536     9.93           0.0            0.022943       1.0            1.0            1.0            1.0            
368.03         352.6925       352.418846     357.857457     355.657348     9.38           0.0            0.023805       1.0            1.0            1.0            1.0            
375.75         355.0375       352.800769     360.610156     357.145693     18.21          0.020977       0.02421        1.0            1.0            1.0            1.0            
372.44         358.025833     353.458462     362.430132     358.278605     14.9           -0.008809      0.026026       1.0            1.0            1.0            1.0            
371.34         360.325        354.031538     363.800881     359.246116     13.8           -0.011737      0.027471       1.0            1.0            1.0            1.0            
372.44         362.118333     354.562308     365.129976     360.223441     14.34          -0.008809      0.028732       1.0            1.0            1.0            1.0            
368.58         363.681667     355.135385     365.660749     360.842445     9.38           -0.019082      0.030027       1.0            1.0            1.0            1.0            
365.82         364.923333     355.538462     365.685249     361.211153     8.83           -0.026427      0.030736       1.0            2.0            1.0            1.0            
366.37         365.889167     355.793077     365.790595     361.59329      11.58          -0.024963      0.031132       1.0            2.0            1.0            1.0            
366.37         367.1075       356.153846     365.879734     361.94712      21.52          -0.024963      0.031545       1.0            2.0            1.0            1.0            
370.23         368.349167     356.599231     366.549006     362.560667     24.27          -0.014691      0.031926       1.0            1.0            1.0            1.0            
374.65         369.4525       357.575385     367.795313     363.456173     34.21          -0.002927      0.032621       1.0            1.0            1.0            1.0            
377.96         370.004167     358.678846     369.359111     364.530531     36.42          0.005882       0.033785       1.0            1.0            1.0            1.0            
382.37         370.831667     360.121923     371.360786     365.851973     43.03          0.011668       0.035216       1.0            1.0            1.0            1.0            
385.13         372.026667     361.692308     373.479127     367.279975     45.24          0.007218       0.036358       1.0            1.0            1.0            1.0            
390.1          372.808333     363.453462     376.036184     368.970347     50.21          0.012905       0.037666       1.0            1.0            1.0            1.0            
388.99         374.28         365.384615     378.029079     370.453284     44.14          -0.002845      0.03863        1.0            1.0            1.0            1.0            
385.13         375.750833     367.273077     379.121528     371.540448     35.31          -0.01274       0.038985       1.0            1.0            1.0            1.0            
382.37         376.808333     368.822308     379.621293     372.342637     28.69          -0.019815      0.037903       1.0            1.0            1.0            1.0            
377.41         377.9575       370.074231     379.281094     372.717997     23.73          -0.03253       0.036106       1.0            2.0            1.0            1.0            
379.61         378.923333     370.986923     379.331695     373.228516     25.38          -0.026891      0.033383       1.0            2.0            1.0            1.0            
382.37         380.026667     371.984231     379.799127     373.905663     30.62          -0.019815      0.031343       1.0            1.0            1.0            1.0            
385.68         381.36         373.066538     380.703877     374.777836     34.21          -0.01133       0.030072       1.0            1.0            1.0            1.0            
380.72         382.6475       374.371538     380.706357     375.217996     23.73          -0.024045      0.02946        1.0            2.0            1.0            1.0            
376.3          383.153333     375.496538     380.028456     375.298144     8.27           -0.035376      0.028117       1.0            2.0            1.0            1.0            
378.51         383.015        376.239231     379.794847     375.536059     10.48          -0.02971       0.026414       1.0            2.0            1.0            1.0            
380.72         382.693333     376.642308     379.937178     375.920055     12.69          -0.024045      0.023944       1.0            2.0            1.0            1.0            
380.72         382.325833     377.130385     380.057612     376.275606     4.97           -0.024045      0.020945       1.0            2.0            1.0            1.0            
381.82         381.544167     377.618462     380.328749     376.686302     9.38           -0.021225      0.018758       1.0            2.0            2.0            1.0            
387.89         380.946667     377.851923     381.492018     377.516206     16.55          -0.005665      0.018385       1.0            1.0            2.0            1.0            
388.99         381.176667     378.446154     382.645554     378.366117     16.55          -0.002845      0.018486       1.0            1.0            2.0            1.0            
387.89         381.728333     379.125        383.452392     379.07159      19.31          -0.005665      0.018549       1.0            1.0            2.0            1.0            
388.44         382.601667     379.719231     384.219716     379.765546     22.62          -0.004255      0.01901        1.0            1.0            2.0            1.0            
392.86         383.3375       380.483077     385.54899      380.735506     26.49          0.007075       0.01923        1.0            1.0            2.0            1.0            
392.31         384.211667     381.523077     386.589145     381.592876     25.94          -0.0014        0.019785       1.0            1.0            2.0            1.0            
391.75         384.764167     382.520769     387.383123     382.345256     21.52          -0.002825      0.020178       1.0            1.0            1.0            1.0            
384.58         385.683333     383.496923     386.951873     382.510793     9.93           -0.021076      0.019822       1.0            2.0            2.0            1.0            
379.61         386.373333     384.048846     385.822354     382.295919     1.65           -0.033727      0.018197       1.0            2.0            2.0            1.0            
382.37         386.465        384.239615     385.291223     382.301406     0.0            -0.026702      0.01645        1.0            2.0            2.0            0.0            
377.41         386.6025       384.409231     384.078727     381.93908      -7.72          -0.039327      0.014296       1.0            2.0            2.0            2.0            
372.99         386.326667     384.218462     382.372769     381.276185     -17.11         -0.050578      0.013099       1.0            2.0            2.0            2.0            
377.96         385.590833     383.751538     381.693881     381.030542     -11.03         -0.037927      0.013388       1.0            2.0            2.0            2.0            
380.72         384.763333     383.284615     381.544053     381.007539     -4.41          -0.030902      0.013388       1.0            2.0            2.0            2.0            
384.58         384.074167     382.966538     382.011122     381.272166     2.21           -0.021076      0.013447       1.0            2.0            2.0            1.0            
393.96         383.798333     382.945385     383.849411     382.212006     16.55          0.0028         0.013435       1.0            1.0            2.0            1.0            
397.27         384.258333     383.391154     385.914117     383.327413     17.66          0.008402       0.01399        1.0            1.0            2.0            1.0            
394.51         384.625833     384.155        387.236561     384.155753     12.14          -0.006947      0.015224       1.0            1.0            2.0            1.0            
385.13         384.809167     384.728077     386.912475     384.227919     -0.55          -0.030559      0.01602        1.0            2.0            2.0            2.0            
386.79         384.2575       384.834231     386.893633     384.417703     6.07           -0.02638       0.015995       1.0            2.0            2.0            1.0            
382.93         384.441667     384.876923     386.283843     384.307503     6.63           -0.036096      0.015653       1.0            2.0            2.0            1.0            
383.48         384.718333     384.961923     385.852483     384.246206     4.97           -0.034712      0.015478       1.0            2.0            2.0            1.0            
387.89         384.810833     385.238077     386.165947     384.516117     7.17           -0.023611      0.015446       1.0            2.0            2.0            1.0            
386.24         385.684167     385.598846     386.17734      384.643812     5.52           -0.027764      0.015508       1.0            2.0            2.0            1.0            
384.03         386.788333     385.811154     385.84698      384.598344     2.21           -0.033327      0.015377       1.0            2.0            2.0            1.0            
382.37         387.294167     385.938462     385.31206      384.433281     -5.52          -0.037506      0.014768       1.0            2.0            2.0            2.0            
384.03         387.431667     385.959615     385.11482      384.403408     -4.96          -0.033327      0.01446        1.0            2.0            2.0            2.0            
388.44         387.385833     385.811154     385.626386     384.702415     0.55           -0.022227      0.014288       1.0            2.0            2.0            1.0            
380.17         386.925833     385.79         384.786942     384.366681     -8.27          -0.043044      0.014136       1.0            2.0            2.0            2.0            
370.23         385.500833     385.493077     382.547412     383.319519     -22.63         -0.068065      0.014268       2.0            2.0            2.0            2.0            
360.85         383.4775       384.792692     379.209349     381.65511      -31.46         -0.091676      0.016028       2.0            2.0            2.0            2.0            
365.82         381.454167     383.561538     377.149449     380.482139     -25.93         -0.079165      0.019661       2.0            2.0            2.0            2.0            
367.48         379.706667     382.542692     375.661841     379.519018     -17.1          -0.074987      0.021452       2.0            2.0            1.0            2.0            
369.68         378.419167     381.609231     374.741558     378.790202     -9.93          -0.069449      0.022637       2.0            2.0            1.0            2.0            
364.72         377.269167     381.036154     373.19978      377.747965     -17.65         -0.081934      0.022936       2.0            2.0            1.0            2.0            
360.85         375.338333     380.463462     371.299814     376.496264     -16.56         -0.091676      0.023813       2.0            2.0            1.0            2.0            
366.37         373.2225       379.635769     370.541381     375.74617      -6.62          -0.077781      0.025125       2.0            2.0            1.0            2.0            
370.23         371.750833     379.211154     370.493476     375.337565     -7.73          -0.068065      0.025869       2.0            2.0            1.0            2.0            
365.82         370.739167     379.105        369.77448      374.63256      -14.9          -0.079165      0.026253       2.0            2.0            1.0            2.0            
362.51         369.221667     378.638077     368.656868     373.734593     -22.07         -0.087497      0.026977       2.0            2.0            1.0            2.0            
354.79         367.060833     377.937692     366.523504     372.33129      -39.17         -0.10693       0.028079       2.0            2.0            1.0            2.0            
344.85         364.945833     376.791923     363.189119     370.295639     -52.42         -0.125878      0.030192       2.0            2.0            1.0            2.0            
343.75         362.830833     374.903077     360.198485     368.329295     -50.76         -0.11505       0.03411        2.0            2.0            1.0            2.0            
342.65         361.405833     372.844615     357.498718     366.427125     -42.48         -0.117882      0.037568       2.0            2.0            1.0            2.0            
344.3          359.475        370.85         355.468146     364.788079     -42.49         -0.113634      0.040493       2.0            2.0            1.0            2.0            
344.3          357.543333     369.279615     353.74997      363.270444     -38.63         -0.113634      0.0417         2.0            2.0            1.0            2.0            
348.72         355.428333     367.645385     352.976128     362.192633     -34.76         -0.102255      0.041894       2.0            2.0            1.0            2.0            
343.2          354.095        366.329615     351.472108     360.785771     -44.69         -0.116466      0.041356       2.0            2.0            1.0            2.0            
342.65         352.624167     364.780385     350.114861     359.442381     -43.59         -0.117882      0.042382       2.0            2.0            1.0            2.0            
346.51         350.6475       363.040385     349.560267     358.484427     -37.52         -0.107945      0.042913       2.0            2.0            1.0            2.0            
346.51         348.670833     361.512308     349.090995     357.597432     -35.86         -0.107945      0.043048       2.0            2.0            1.0            2.0            
346.51         347.061667     360.069231     348.693919     356.776141     -37.52         -0.107945      0.042839       2.0            2.0            1.0            2.0            
344.3          345.728333     358.69         348.017931     355.851982     -44.14         -0.094353      0.041677       2.0            2.0            1.0            2.0            
344.3          344.854167     357.161923     347.445942     354.99628      -35.87         -0.070038      0.040581       2.0            2.0            1.0            2.0            
345.96         344.808333     355.464231     347.217336     354.326926     -24.27         -0.065554      0.039416       2.0            2.0            1.0            2.0            
352.58         344.9925       354.148462     348.042361     354.197524     -8.27          -0.047673      0.037961       2.0            2.0            1.0            2.0            
355.34         345.82         353.469615     349.165075     354.282152     -10.48         -0.040218      0.035379       2.0            2.0            1.0            2.0            
354.79         346.74         353.257692     350.030448     354.31977      -12.69         -0.041704      0.031061       2.0            2.0            1.0            2.0            
349.82         347.614167     352.833462     349.998071     353.986454     -19.86         -0.055128      0.028102       2.0            2.0            1.0            2.0            
340.99         347.705833     352.154231     348.612214     353.023754     -23.73         -0.078978      0.026885       2.0            2.0            1.0            2.0            
339.34         347.521667     351.050769     347.18572      352.010143     -21.51         -0.083435      0.027381       2.0            2.0            1.0            2.0            
331.61         347.245833     350.074615     344.789455     350.499021     -34.76         -0.104314      0.027381       2.0            2.0            1.0            2.0            
336.03         346.004167     348.95         343.441847     349.427242     -34.2          -0.081433      0.02809        2.0            2.0            1.0            2.0            
329.4          345.130833     347.783077     341.281563     347.943743     -36.42         -0.091335      0.027217       2.0            2.0            1.0            2.0            
334.92         343.705        346.212692     340.302861     346.979021     -27.59         -0.057466      0.027963       2.0            2.0            1.0            2.0            
324.99         342.923333     345.024231     337.947036     345.350205     -29.8          -0.085411      0.028011       2.0            2.0            1.0            2.0            
329.96         341.314167     343.581154     336.718261     344.21019      -14.89         -0.071425      0.028527       2.0            2.0            1.0            2.0            
333.82         339.980833     342.626154     336.272375     343.440546     -9.93          -0.060562      0.026579       2.0            2.0            1.0            2.0            
336.03         338.4175       342.201923     336.235087     342.891617     -6.62          -0.054342      0.02453        2.0            2.0            1.0            2.0            
334.92         336.808333     341.905        336.032766     342.301127     -9.38          -0.057466      0.022514       2.0            2.0            1.0            2.0            
340.99         335.1525       341.607692     336.795417     342.204006     -3.31          -0.040384      0.02185        2.0            2.0            1.0            2.0            
